Filename,Document Name,Document Name-Answer,Parties,Parties-Answer,Agreement Date,Agreement Date-Answer,Effective Date,Effective Date-Answer,Expiration Date,Expiration Date-Answer,Renewal Term,Renewal Term-Answer,Notice Period To Terminate Renewal,Notice Period To Terminate Renewal- Answer,Governing Law,Governing Law-Answer
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.PDF",['SUPPLY AGREEMENT'],SUPPLY AGREEMENT,"['Shi Farms', 'each individually ""a Party,"" and collectively, ""the Parties.""', 'Gridiron BioNutrients, Inc', 'EWSD 1, LLC, d/b/a/ SHI FARMS', 'Gridiron']","EWSD 1, LLC, d/b/a SHI FARMS (""Shi Farms""); Gridiron BioNutrients (""Gridiron""); EWSD 1, LLC, d/b/a SHI FARMS and Gridiron BioNutrients (individually “a Party,” and collectively, “the Parties.”)",['1/27/2020'],1/27/20,[],1/27/20,[],,[],,[],,['This Agreement and any amendments thereto shall be construed according to the laws of the State of Colorado without regard to conflicts of law principles and any disputes hereunder shall be litigated in a state court in Colorado.'],Colorado
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement.PDF",['Supply Agreement'],Supply Agreement,"['Miltenyi', 'Miltenyi Biotec GmbH', 'Bellicum Pharmaceuticals, Inc.', 'Miltenyi and Bellicum are sometimes referred to herein individually as a ""Party"" and collectively as the ""Parties.""', 'Bellicum']","Miltenyi Biotec GmbH (""Miltenyi""); Bellicum Phamaceuticals, Inc. (""Bellicum""); Miltenyi and Bellicum (individually as a “Party” and collectively as the “Parties”)","['March 27, 2019']",3/27/19,"['March 27, 2019']",3/27/19,"['The Agreement shall have an initial term of ten (10) years commencing from the Effective Date and ending on the tenth (10th) anniversary thereof (the ""Initial Term""), unless earlier terminated by either Party in accordance with the provisions of Section 15.2 or Section 15.3.']",3/27/29,"['Thereafter, Bellicum shall have consecutive separate options to extend the Term for successive renewal terms of five (5) years each (each, a ""Renewal Term"", and<omitted>collectively with the Initial Term, the ""Term"").']",successive 5 years,[],,"['This Agreement shall be governed in all respects by, and construed and enforced in accordance with, the laws of the State of New York, USA, without regard to the conflict of law provisions thereof or the United Nations Convention on Contracts for the International Sale of Goods; provided, however, that any dispute relating to the scope, validity, enforceability or infringement of any Intellectual Property Right will be governed by, and construed and enforced in accordance with, the substantive laws of the jurisdiction in which such Intellectual Property Right applies.']",New York
FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT.PDF,['SUPPLY AGREEMENT'],SUPPLY AGREEMENT,"['Flotek Chemistry, LLC', 'Florida Chemical Company, LLC', 'Flotek', 'FCC']","Florida Chemical Company, LLC (""FCC""); Flotek Chemistry LLC (""Flotek"")","['February 28, 2019']",2/28/19,"['February 28, 2019<omitted>The ""Term"" shall begin on the date hereof and shall expire December 31, 2023, subject to early termination pursuant to the terms of Section 19.']",2/28/19,"['The ""Term"" shall begin on the date hereof and shall expire December 31, 2023, subject to early termination pursuant to the terms of Section 19. Flotek, may, by written notice given to FCC on or before September 30, 2023, elect for the Term to be extended to December 31, 2024.']",12/31/23,[],,[],,['This Agreement shall be governed by and construed in accordance with the laws of the state of Delaware.'],Delaware
GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT.PDF,['TRANSPORTATION CONTRACT  GENERAL CONDITIONS'],TRANSPORTATION CONTRACT  GENERAL CONDITIONS,"['SOLANA PETROLEUM EXPLORATION  COLOMBIA LIMITED', 'SENDER', 'ECOPETROL', 'SHIPPER', 'ECOPETROL S.A.']","SOLANA PETROLEUM EXPLORATION  COLOMBIA LIMITED (""SENDER""); ECOPETROL S.A.(""ECOPETROL"") (""SHIPPER"")","['January 30, 2012']",1/30/12,"['January 30, 2012']",1/30/12,"['TERM OF EXECUTION From January 30, 2012 until July 29, 2012']",7/29/12,[],,[],,['This Manual is governed in all its parts by the applicable regulations of the Republic of Colombia.'],Colombia
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT.PDF,['TRANSPORTATION SERVICE AGREEMENT'],TRANSPORTATION SERVICE AGREEMENT,"['Arkansas Western Pipeline Company', 'Associated Natural Gas Company', 'Shipper', 'Transporter']","Arkansas Western Pipeline Company (""Transporter""); Associated Natural Gas Company (""Shipper"")","['May 20, 1992']",5/20/92,"[""Subject to the General Terms and Conditions of Transporter's                   FERC Gas Tariff and Rate Schedule FTS/ITS, this Agreement                   shall be effective as of the date of physical completion of                   and initial deliveries on Transporter's pipeline and shall                   continue for a primary term of ten years.""]",,"[""Subject to the General Terms and Conditions of Transporter's                   FERC Gas Tariff and Rate Schedule FTS/ITS, this Agreement                   shall be effective as of the date of physical completion of                   and initial deliveries on Transporter's pipeline and shall                   continue for a primary term of ten years.""]",,"['Thereafter, this\n\n\n\n\n\n                  Agreement shall be effective month to month, until terminated                   by Transporter or Shipper upon the following written notice to                   the other specifying a termination date: sixty (60) days for\n\n                  interruptible transportation under Rate Schedule ITS and 180                   days for firm transportation under Rate Schedule FTS.']",successive 1 month,"['Thereafter, this\n\n\n\n\n\n                  Agreement shall be effective month to month, until terminated                   by Transporter or Shipper upon the following written notice to                   the other specifying a termination date: sixty (60) days for\n\n                  interruptible transportation under Rate Schedule ITS and 180                   days for firm transportation under Rate Schedule FTS.']",60 days; 180 days,"['This Agreement and the rights and duties of                   Transporter and Shipper hereunder shall be governed by and                   interpreted in accordance with the laws of the State of                   Arkansas, without recourse to the law governing conflict of                   laws.']",Arkansas
DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT.PDF,['MARKETING AND TRANSPORTATION SERVICES AGREEMENT'],MARKETING AND TRANSPORTATION SERVICES AGREEMENT,"['Purolator', 'PUROLATOR COURIER LTD.', 'Dynamex', 'PARCELWAY COURIER SYSTEMS CANADA LTD.', 'a subsidiary of Dynamex Inc.']","Purolator Courier Ltd. (""Purolator""); Parcelway Courier Systems Canada Ltd. a subsidiary of Dynamex Inc. (""Dynamex"")","['20 day of November, 1995']",11/20/95,"['20 day of November, 1995.<omitted>This Agreement shall be effective from the date first above written and         shall continue indefinitely until terminated by either Party in          accordance with the provisions of this Agreement.']",11/20/95,['This Agreement shall be effective from the date first above written and         shall continue indefinitely until terminated by either Party in          accordance with the provisions of this Agreement.'],perpetual,[],,[],,['This Agreement shall be governed and construed in accordance with the         laws of the Province of Ontario.'],"Province of Ontario, Canada"
MPLXLP_06_17_2015-EX-10.1-TRANSPORTATION SERVICES AGREEMENT.PDF,['TRANSPORTATION SERVICES AGREEMENT'],TRANSPORTATION SERVICES AGREEMENT,"['Shipper', 'Marathon Pipe Line LLC', 'MPL', 'both referred to jointly as the ""Parties"" and each individually as a ""Party"".', 'Marathon Petroleum Company LP']","Marathon Petroleum Company LP (""Shipper""); Marathon Pipe Line LLC (""MPL""); Marathon Petroleum Company LP and Marathon Pipe Line LLC (jointly as ""Parties"" and individually as a ""Party"")","['June 11, 2015,']",6/11/15,"['June 11, 2015']",6/11/15,"['The Agreement shall continue through the project\'s in-service date and for a period of fifteen (15) years after the project\'s in-service date (""Initial Term"").']",6/11/30,"['This Agreement will automatically renew for up to two (2) renewal terms of five (5) years each (each, an ""Extension Period"") unless either Party provides the other Party with written notice of its intent to terminate this Agreement at least six (6) months prior to the end of the Initial Term or the then current Extension Period.']",2 5 years,"['This Agreement will automatically renew for up to two (2) renewal terms of five (5) years each (each, an ""Extension Period"") unless either Party provides the other Party with written notice of its intent to terminate this Agreement at least six (6) months prior to the end of the Initial Term or the then current Extension Period.']",6 months,"['This Agreement shall be construed and interpreted in accordance with the laws of the State of Ohio, without recourse to any principles of law governing conflicts of law, which might otherwise be applicable.']",Ohio
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT.PDF,['TRANSPORTATION CONTRACT'],TRANSPORTATION CONTRACT,"['Principal', 'JSC Karakudukmunay', 'Parties', 'JSC NOC KazakhOil', 'Company']","JSC NOC KazakhOil (""Company""); JSC Karakudukmunay (""Principal""); collectively referred to as ""Parties""","['January 3, 2000']",1/3/00,"['""Effective Date"" means the date of actual execution of this Contract by the Parties.']",,"['""Initial Term"" means the period commencing on the Effective Date and concluding on the last day of the month in which the fifth anniversary of the Offtake Agreement Effective Date falls.', '""Offtake Agreement"" means that certain Crude Oil Sale and Purchase Agreement between the Principal and STASCO dated 1 November 1999.']",11/30/04,"['In accordance with items 9.3, 9.4, and 10.3, this Contract shall come into      force on the Effective Date, remain effective throughout the Initial Term,      and be prolonged, or further extended automatically for a period of 12<omitted>months, each such extension commencing at the end of the last day of the      Initial Term or the relevant anniversary thereof, unless either Party      serves written notice of termination on the other Party at least 65 days      prior to the end of the Initial Term, or any subsequent extension.']",successive 12 months,"['In accordance with items 9.3, 9.4, and 10.3, this Contract shall come into      force on the Effective Date, remain effective throughout the Initial Term,      and be prolonged, or further extended automatically for a period of 12\n\n\n\n\n\n     months, each such extension commencing at the end of the last day of the      Initial Term or the relevant anniversary thereof, unless either Party      serves written notice of termination on the other Party at least 65 days      prior to the end of the Initial Term, or any subsequent extension.']",65 days,['Effective legislation of the Republic of Kazakhstan shall apply to any      relations of the Parties arising out of this Contract.'],Republic of Kazakhstan
KENTUCKYUTILITIESCO_03_25_2003-EX-10.65-TRANSPORTATION AGREEMENT.PDF,['GAS TRANSPORTATION AGREEMENT'],GAS TRANSPORTATION AGREEMENT,"['Transporter', 'TENNESSEE GAS PIPELINE COMPANY', 'Shipper.', 'LOUISVILLE GAS AND ELECTRIC COMPANY']","TENNESSEE GAS PIPELINE COMPANY (""Transporter""); LOUISVILLE GAS AND ELECTRIC COMPANY (""Shipper""); Transporter and Shipper shall collectively be referred to herein as the ""Parties"".","['1st day of November, 2002']",11/1/02,"['This contract shall be effective as of November 1, 2002, and shall remain in force and effect, unless modified as per Exhibit B, until October 31, 2012.']",11/1/02,"['This contract shall be effective as of November 1, 2002, and shall remain in force and effect, unless modified as per Exhibit B, until October 31, 2012.']",10/31/12,[],,[],,"['THE INTERPRETATION AND PERFORMANCE OF THIS CONTRACT SHALL BE IN ACCORDANCE WITH AND CONTROLLED BY THE LAWS OF THE STATE OF TEXAS, WITHOUT REGARD TO THE DOCTRINES GOVERNING CHOICE OF LAW.']",Texas
MACROGENICSINC_08_02_2013-EX-10-COLLABORATION AGREEMENT.PDF,['Collaboration Agreement'],Collaboration Agreement,"['MacroGenics and Green Cross may be referred to herein individually as a ""Party"" or collectively as the ""Parties.', 'MacroGenics, Inc.', 'Green Cross Corp.', 'Green Cross', 'MacroGenics']","MacroGenics, Inc. (""MacroGenics""); Green Cross Corp. (""Green Cross""); MacroGenics and Green Cross (individually as a “Party” or collectively as the “Parties"")","['June , 2010']",06/[]/2010,"['June , 2010']",06/[]/2010,"['""Royalty Term"" means, with respect to sales of a Product in the Territory, the time period beginning on the First Commercial Sale of such Product in the Territory and expiring on the latest of the following dates:\n\n(a) ***\n\n(b) ***\n\n(c) ***<omitted>Unless earlier terminated, this Agreement shall continue in effect until the expiration of the Royalty Term as defined in Section 1.87 (""Term""), and thereafter Green Cross has no remaining payment obligations with respect to the Products pursuant to Section 8.5 above and MacroGenics shall have no further obligations hereunder.']",,[],,[],,"['Except as otherwise indicated, in all other respects, the right and obligations of the Parties under this Agreement shall be governed by and construed in accordance with the laws of the ***.']",
